,Name,Team,Position,Height,Weight,Age,PosCategory
181,Milton_Bradley,OAK,Outfielder,72,205,28.88,Outfielder
182,Shannon_Stewart,OAK,Outfielder,71,200,33.01,Outfielder
183,Bobby_Kielty,OAK,Outfielder,73,225,30.57,Outfielder
184,Mark_Kotsay,OAK,Outfielder,72,201,31.24,Outfielder
185,Ryan_Goleski,OAK,Outfielder,75,225,24.95,Outfielder
214,Johnny_Damon,NYY,Outfielder,74,190,33.32,Outfielder
215,Bobby_Abreu,NYY,Outfielder,72,211,32.97,Outfielder
216,Hideki_Matsui,NYY,Outfielder,74,230,32.72,Outfielder
217,Melky_Cabrera,NYY,Outfielder,71,170,22.55,Outfielder
218,Kevin_Thompson,NYY,Outfielder,70,185,27.45,Outfielder
247,Craig_Monroe,DET,Outfielder,73,220,30.0,Outfielder
248,Magglio_Ordo?ez,DET,Outfielder,72,215,33.09,Outfielder
249,Curtis_Granderson,DET,Outfielder,73,185,25.96,Outfielder
250,Brent_Clevlen,DET,Outfielder,74,190,23.34,Outfielder
251,Marcus_Thames,DET,Outfielder,74,205,29.98,Outfielder
252,Gary_Sheffield,DET,Outfielder,72,205,38.28,Outfielder
281,Raul_Ibanez,SEA,Outfielder,74,200,34.74,Outfielder
282,Jose_Guillen,SEA,Outfielder,71,190,30.79,Outfielder
283,Jeremy_Reed,SEA,Outfielder,72,185,25.71,Outfielder
284,Willie_Bloomquist,SEA,Outfielder,71,185,29.26,Outfielder
285,Adam_Jones,SEA,Outfielder,74,200,21.58,Outfielder
286,Ichiro_Suzuki,SEA,Outfielder,69,172,33.36,Outfielder
287,Mike_Morse,SEA,Outfielder,76,220,24.94,Outfielder
314,Carl_Crawford,TB,Outfielder,74,219,25.57,Outfielder
315,Rocco_Baldelli,TB,Outfielder,76,187,25.43,Outfielder
316,Greg_Norton,TB,Outfielder,73,200,34.65,Outfielder
317,Elijah_Dukes,TB,Outfielder,74,220,22.68,Outfielder
318,Delmon_Young,TB,Outfielder,75,205,21.46,Outfielder
348,Joey_Gathright,KC,Outfielder,70,170,25.84,Outfielder
349,David_DeJesus,KC,Outfielder,72,175,27.2,Outfielder
350,Shane_Costa,KC,Outfielder,72,220,25.22,Outfielder
351,Mitch_Maier,KC,Outfielder,74,210,24.67,Outfielder
352,Reggie_Sanders,KC,Outfielder,73,205,39.25,Outfielder
353,Emil_Brown,KC,Outfielder,74,200,32.17,Outfielder
381,Marlon_Byrd,TEX,Outfielder,72,229,29.5,Outfielder
382,Brad_Wilkerson,TEX,Outfielder,72,206,29.75,Outfielder
383,Sammy_Sosa,TEX,Outfielder,72,220,38.3,Outfielder
384,Kenny_Lofton,TEX,Outfielder,72,180,39.75,Outfielder
385,Frank_Catalanotto,TEX,Outfielder,71,195,32.84,Outfielder
386,Nelson_Cruz,TEX,Outfielder,75,175,26.66,Outfielder
416,Reed_Johnson,TOR,Outfielder,70,180,30.23,Outfielder
417,Alex_Rios,TOR,Outfielder,77,194,26.03,Outfielder
418,Vernon_Wells,TOR,Outfielder,73,225,28.23,Outfielder
449,Jason_Tyner,MIN,Outfielder,73,160,29.85,Outfielder
450,Michael_Cuddyer,MIN,Outfielder,74,222,27.93,Outfielder
451,Torii_Hunter,MIN,Outfielder,74,211,31.62,Outfielder
452,Lew_Ford,MIN,Outfielder,72,195,30.55,Outfielder
453,Jason_Kubel,MIN,Outfielder,71,200,24.77,Outfielder
479,Jeff_Francoeur,ATL,Outfielder,76,220,23.14,Outfielder
480,Matt_Diaz,ATL,Outfielder,73,206,28.99,Outfielder
481,Kelly_Johnson,ATL,Outfielder,73,180,25.02,Outfielder
482,Andruw_Jones,ATL,Outfielder,73,210,29.85,Outfielder
483,Ryan_Langerhans,ATL,Outfielder,75,195,27.03,Outfielder
484,Scott_Thorman,ATL,Outfielder,75,200,25.15,Outfielder
485,T.J._Bohn,ATL,Outfielder,77,200,27.12,Outfielder
515,Alfonso_Soriano,CHC,Outfielder,73,180,31.15,Outfielder
516,Jacque_Jones,CHC,Outfielder,70,195,31.85,Outfielder
517,Daryle_Ward,CHC,Outfielder,74,230,31.68,Outfielder
518,Cliff_Floyd,CHC,Outfielder,76,230,34.23,Outfielder
519,Mark_DeRosa,CHC,Outfielder,73,205,32.01,Outfielder
520,Matt_Murton,CHC,Outfielder,73,215,25.41,Outfielder
521,Buck_Coats,CHC,Outfielder,75,195,24.73,Outfielder
522,Angel_Pagan,CHC,Outfielder,73,180,25.66,Outfielder
551,Chris_Young,ARZ,Outfielder,74,180,23.49,Outfielder
552,Scott_Hairston,ARZ,Outfielder,72,188,26.77,Outfielder
553,Carlos_Quentin,ARZ,Outfielder,73,225,24.51,Outfielder
554,Jeff_DaVanon,ARZ,Outfielder,72,200,33.23,Outfielder
555,Eric_Byrnes,ARZ,Outfielder,74,210,31.04,Outfielder
578,Joe_Borchard,FLA,Outfielder,77,220,28.26,Outfielder
579,Alfredo_Amezaga,FLA,Outfielder,70,165,29.12,Outfielder
580,Cody_Ross,FLA,Outfielder,71,180,26.18,Outfielder
581,Josh_Willingham,FLA,Outfielder,73,200,28.03,Outfielder
582,Jeremy_Hermida,FLA,Outfielder,76,200,23.08,Outfielder
583,Eric_Reed,FLA,Outfielder,71,170,26.24,Outfielder
584,Reggi_Abercrombie,FLA,Outfielder,75,224,26.63,Outfielder
613,Norris_Hopper,CIN,Outfielder,69,200,27.94,Outfielder
614,Chris_Denorfia,CIN,Outfielder,73,185,26.63,Outfielder
615,Adam_Dunn,CIN,Outfielder,78,240,27.31,Outfielder
616,Bubba_Crosby,CIN,Outfielder,71,185,30.55,Outfielder
617,Jeff_Conine,CIN,Outfielder,73,220,40.68,Outfielder
618,Ken_Griffey_Jr.,CIN,Outfielder,75,205,37.27,Outfielder
619,Josh_Hamilton,CIN,Outfielder,76,205,25.78,Outfielder
620,Ryan_Freel,CIN,Outfielder,70,180,30.98,Outfielder
646,Ryan_Spilborghs,COL,Outfielder,73,190,27.49,Outfielder
647,Cory_Sullivan,COL,Outfielder,72,180,27.53,Outfielder
648,Jeff_Salazar,COL,Outfielder,72,180,26.26,Outfielder
649,Willy_Taveras,COL,Outfielder,72,160,25.18,Outfielder
650,Matt_Holliday,COL,Outfielder,76,235,27.12,Outfielder
651,Brad_Hawpe,COL,Outfielder,75,200,27.69,Outfielder
652,Jeff_Baker,COL,Outfielder,74,210,25.69,Outfielder
680,Ben_Johnson,NYM,Outfielder,73,200,25.7,Outfielder
681,Endy_Chavez,NYM,Outfielder,70,189,29.06,Outfielder
682,David_Newhan,NYM,Outfielder,70,180,33.48,Outfielder
683,Carlos_Beltran,NYM,Outfielder,73,190,29.85,Outfielder
684,Shawn_Green,NYM,Outfielder,76,200,34.3,Outfielder
685,Moises_Alou,NYM,Outfielder,75,220,40.66,Outfielder
686,Lastings_Milledge,NYM,Outfielder,72,187,21.9,Outfielder
721,Carlos_Lee,HOU,Outfielder,74,240,30.69,Outfielder
722,Jason_Lane,HOU,Outfielder,74,220,30.19,Outfielder
723,Orlando_Palmeiro,HOU,Outfielder,71,180,38.11,Outfielder
724,Luke_Scott,HOU,Outfielder,72,210,28.68,Outfielder
725,Charlton_Jimerson,HOU,Outfielder,75,210,27.44,Outfielder
754,Matt_Kemp,LA,Outfielder,76,230,22.43,Outfielder
755,Andre_Ethier,LA,Outfielder,73,208,24.89,Outfielder
756,Delwyn_Young,LA,Outfielder,68,209,24.67,Outfielder
757,Jason_Repko,LA,Outfielder,71,175,26.17,Outfielder
758,Juan_Pierre,LA,Outfielder,72,180,29.54,Outfielder
759,Luis_Gonzalez,LA,Outfielder,74,200,39.49,Outfielder
786,Michael_Bourn,PHI,Outfielder,71,180,24.18,Outfielder
787,Chris_Roberson,PHI,Outfielder,74,180,27.52,Outfielder
788,Jayson_Werth,PHI,Outfielder,77,215,27.78,Outfielder
789,Shane_Victorino,PHI,Outfielder,69,160,26.25,Outfielder
790,Aaron_Rowand,PHI,Outfielder,72,205,29.5,Outfielder
791,Pat_Burrell,PHI,Outfielder,76,223,30.39,Outfielder
823,Kevin_Mench,MLW,Outfielder,72,225,29.14,Outfielder
824,Geoff_Jenkins,MLW,Outfielder,73,212,32.61,Outfielder
825,Brady_Clark,MLW,Outfielder,74,202,33.87,Outfielder
826,Tony_Gwynn_Jr.,MLW,Outfielder,72,185,24.41,Outfielder
827,Corey_Hart,MLW,Outfielder,78,200,24.94,Outfielder
828,Gabe_Gross,MLW,Outfielder,75,209,27.36,Outfielder
829,Laynce_Nix,MLW,Outfielder,72,200,26.33,Outfielder
830,Drew_Anderson,MLW,Outfielder,74,195,25.72,Outfielder
853,Paul_McAnulty,SD,Outfielder,70,220,26.01,Outfielder
854,Terrmel_Sledge,SD,Outfielder,72,185,29.95,Outfielder
855,Jack_Cust,SD,Outfielder,73,231,28.12,Outfielder
856,Jose_Cruz_Jr.,SD,Outfielder,72,210,32.87,Outfielder
857,Russell_Branyan,SD,Outfielder,75,195,31.2,Outfielder
858,Mike_Cameron,SD,Outfielder,74,200,34.14,Outfielder
859,Brian_Giles,SD,Outfielder,70,205,36.11,Outfielder
887,Nook_Logan,WAS,Outfielder,74,180,27.26,Outfielder
888,Ryan_Church,WAS,Outfielder,73,190,28.38,Outfielder
889,Kory_Casto,WAS,Outfielder,73,200,25.23,Outfielder
890,Mike_Restovich,WAS,Outfielder,76,257,28.16,Outfielder
891,Alex_Escobar,WAS,Outfielder,73,190,28.48,Outfielder
892,Austin_Kearns,WAS,Outfielder,75,220,26.78,Outfielder
893,Chris_Snelling,WAS,Outfielder,70,165,25.24,Outfielder
922,Jason_Bay,PIT,Outfielder,74,200,28.44,Outfielder
923,Jose_Bautista,PIT,Outfielder,72,192,26.36,Outfielder
924,Xavier_Nady,PIT,Outfielder,74,205,28.29,Outfielder
925,Jody_Gerut,PIT,Outfielder,72,190,29.45,Outfielder
926,Nate_McLouth,PIT,Outfielder,71,186,25.34,Outfielder
927,Chris_Duffy,PIT,Outfielder,70,170,26.86,Outfielder
928,Rajai_Davis,PIT,Outfielder,71,197,26.36,Outfielder
958,Todd_Linden,SF,Outfielder,75,210,26.67,Outfielder
959,Dave_Roberts,SF,Outfielder,70,180,34.75,Outfielder
960,Jason_Ellison,SF,Outfielder,70,180,28.91,Outfielder
961,Randy_Winn,SF,Outfielder,74,197,32.73,Outfielder
962,Ryan_Klesko,SF,Outfielder,75,220,35.72,Outfielder
963,Barry_Bonds,SF,Outfielder,74,228,42.6,Outfielder
964,Fred_Lewis,SF,Outfielder,74,190,26.22,Outfielder
992,Jim_Edmonds,STL,Outfielder,73,212,36.68,Outfielder
993,So_Taguchi,STL,Outfielder,70,163,37.66,Outfielder
994,Juan_Encarnacion,STL,Outfielder,75,215,30.98,Outfielder
995,Skip_Schumaker,STL,Outfielder,70,175,27.07,Outfielder
996,John_Rodriguez,STL,Outfielder,72,205,29.11,Outfielder
997,Chris_Duncan,STL,Outfielder,77,210,25.82,Outfielder
